CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
619,France,Female,42,2,0.0,1,1,1,101348.88,1
502,France,Female,42,8,159660.8,3,1,0,113931.57,1
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
475,France,Female,45,0,134264.04,1,1,0,27822.99,1
465,France,Female,51,8,122522.32,1,0,0,181297.65,1
834,France,Female,49,2,131394.56,1,0,0,194365.76,1
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
777,France,Female,32,2,0.0,1,1,0,136458.19,1
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
646,France,Female,46,4,0.0,3,1,0,93251.42,1
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
432,France,Male,42,9,152603.45,1,1,0,110265.24,1
549,France,Female,52,1,0.0,1,0,1,8636.05,1
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
691,France,Female,31,5,40915.55,1,1,0,126213.84,1
535,France,Female,48,9,0.0,1,1,0,149892.79,1
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
804,France,Female,50,4,0.0,1,1,1,8546.87,1
715,France,Female,41,8,56214.85,2,0,0,92982.61,1
516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
711,France,Female,38,2,129022.06,2,1,1,14374.86,1
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
643,France,Male,45,5,0.0,1,1,0,142513.5,1
668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
807,France,Male,43,1,105799.32,2,1,0,34888.04,1
592,France,Male,54,8,0.0,1,1,1,28737.71,1
850,France,Male,33,10,0.0,1,1,0,4861.72,1
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
668,France,Female,46,2,0.0,3,1,0,89048.46,1
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
635,France,Female,40,10,123497.58,1,1,0,131953.23,1
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
756,France,Male,62,3,0.0,1,1,1,11199.04,1
714,France,Male,46,1,0.0,1,1,0,152167.79,1
479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
731,France,Male,43,2,0.0,1,1,1,170034.95,1
